dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (C),Altitude (m)
0,32,38,27,0,0,975.36,301.41,336.98
1,38,19,34,0,7,975.61,301.45,334.81
2,42,15,48,0,8,975.62,301.5,334.75
3,39,46,37,0,0,975.45,301.75,336.53
4,40,53,24,0,4,975.33,301.91,337.87
5,27,37,31,0,4,975.2,301.79,338.93
6,29,35,34,0,0,975.24,302.02,338.79
7,8,17,25,0,0,975.12,302.04,339.9
8,54,9,37,0,4,975.17,301.94,339.29
9,56,23,32,0,0,974.95,301.98,341.36
10,34,33,31,0,8,974.76,301.98,343.14
11,21,45,38,0,8,974.53,302.06,345.32
12,25,37,29,0,0,973.79,302.18,352.17
13,33,38,44,0,0,973.54,302.29,354.62
14,22,23,25,0,4,973.22,302.45,357.7
15,44,5,60,0,4,973.18,302.49,358.11
16,25,16,38,0,5,973.26,302.67,357.61
17,30,43,40,4,0,973.35,302.51,356.63
18,23,24,30,4,0,973.62,302.61,354.28
19,30,30,47,5,8,973.56,302.74,354.94
20,13,65,46,0,4,973.53,302.74,355.27
21,44,52,13,0,0,973.69,302.81,353.89
22,22,31,31,4,4,973.8,302.55,352.57
23,33,41,27,0,0,973.97,302.74,351.21
24,39,44,29,0,4,973.94,302.58,351.28
25,14,13,14,0,4,974.02,302.55,350.53
26,36,27,25,0,3,974.23,302.47,348.5
27,42,33,40,0,4,974.42,302.26,346.54
28,18,41,48,0,4,974.68,302.2,344.06
29,41,12,12,4,0,974.99,301.97,340.97
30,30,37,41,0,0,975.33,301.8,337.73
31,19,28,32,0,0,975.68,301.92,334.68
32,37,24,32,0,4,975.99,301.82,331.73
33,28,48,29,0,4,976.32,301.76,328.69
34,55,35,56,0,16,976.55,301.51,326.29
35,47,45,12,4,4,976.86,301.29,323.2
36,36,28,44,4,4,977.09,301.17,321.06
37,27,56,45,0,4,977.38,300.94,318.17
38,31,46,22,0,4,977.64,300.84,315.71
39,21,27,21,0,0,977.73,300.91,314.94
